Domain,Type,Sponsoring Organisation,Date
.jcb,generic,"JCB Co., Ltd.",2026-02-10
.jetzt,generic,New TLD Company AB,2026-02-10
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2026-02-10
.juegos,generic,"Uniregistry, Corp.",2026-02-10
.kaufen,generic,United TLD Holdco Ltd.,2026-02-10
.kddi,generic,KDDI CORPORATION,2026-02-10
.kim,generic,Afilias Limited,2026-02-10
.kitchen,generic,"Just Goodbye, LLC",2026-02-10
.kiwi,generic,DOT KIWI LIMITED,2026-02-10
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2026-02-10
.komatsu,generic,Komatsu Ltd.,2026-02-10
.krd,generic,KRG Department of Information Technology,2026-02-10
.kred,generic,KredTLD Pty Ltd,2026-02-10
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2026-02-10
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2026-02-10
.land,generic,"Pine Moon, LLC",2026-02-10
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2026-02-10
.latrobe,generic,La Trobe University,2026-02-10
.lawyer,generic,"United TLD Holdco, Ltd",2026-02-10
.lds,generic,"IRI Domain Management, LLC",2026-02-10
.lease,generic,"Victor Trail, LLC",2026-02-10
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2026-02-10
.legal,generic,"Blue Falls, LLC",2026-02-10
.lgbt,generic,Afilias Limited,2026-02-10
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2026-02-10
.life,generic,"Trixy Oaks, LLC",2026-02-10
.lighting,generic,"John McCook, LLC",2026-02-10
.limited,generic,"Big Fest, LLC",2026-02-10
.limo,generic,"Hidden Frostbite, LLC",2026-02-10
.link,generic,"Uniregistry, Corp.",2026-02-10
.loan,generic,dot Loan Limited,2026-02-10
.loans,generic,"June Woods, LLC",2026-02-10
.london,generic,Dot London Domains Limited,2026-02-10
.lotte,generic,"Lotte Holdings Co., Ltd.",2026-02-10
.lotto,generic,Afilias Limited,2026-02-10
.love,generic,Merchant Law Group LLP,2026-02-10
.ltda,generic,InterNetX Corp.,2026-02-10
.luxe,generic,Top Level Domain Holdings Limited,2026-02-10
.luxury,generic,Luxury Partners LLC,2026-02-10
.madrid,generic,Comunidad de Madrid,2026-02-10
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2026-02-10
.maison,generic,"Victor Frostbite, LLC",2026-02-10
.management,generic,"John Goodbye, LLC",2026-02-10
.mango,generic,PUNTO FA S.L.,2026-02-10
.market,generic,"Unitied TLD Holdco, Ltd",2026-02-10
.marketing,generic,"Fern Pass, LLC",2026-02-10
.markets,generic,DOTMARKETS REGISTRY LTD,2026-02-10
.marriott,generic,Marriott Worldwide Corporation,2026-02-10
.media,generic,"Grand Glen, LLC",2026-02-10
.meet,generic,Afilias Limited,2026-02-10
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2026-02-10
.meme,generic,Charleston Road Registry Inc.,2026-02-10
.memorial,generic,"Dog Beach, LLC",2026-02-10
.menu,generic,"Wedding TLD2, LLC",2026-02-10
.miami,generic,Top Level Domain Holdings Limited,2026-02-10
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2026-02-10
.mma,generic,MMA IARD,2026-02-10
.moda,generic,United TLD Holdco Ltd.,2026-02-10
.moe,generic,"Interlink Co., Ltd.",2026-02-10
.monash,generic,Monash University,2026-02-10
.money,generic,"Outer McCook, LLC",2026-02-10
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2026-02-10
